ISSCAAP_Division_Code,ISSCAAP_Division_Desc,ISSCAAP_Group_Code,ISSCAAP_Group_Desc,ERSCode,ScientificName,CG_code,CG_descr,MCS_code,MCS_descr,edible_fraction_note,edible_fraction
5,Molluscs,57,"Squids, cuttlefishes, octopuses",OFJ,Ommastrephes bartramii,9,Cephalopods,75,Squid,Meat edible fraction,67
1,Freshwater fishes,13,Miscellaneous freshwater fishes,NIP,Lates niloticus,1,Freshwater fish,3,Nile perch,Flesh edible fraction,65
3,Marine fishes,32,"Cods, hakes, haddocks",NHA,Merluccius productus,3,Groundfish,16,Hake,Flesh edible fraction,53
4,Crustaceans,45,"Shrimps, prawns",ABS,Penaeus aztecus,8,Crustaceans,70,"Shrimp, warmwater",Meat edible fraction,57
4,Crustaceans,45,"Shrimps, prawns",PRA,Pandalus borealis,8,Crustaceans,64,"Shrimp, coldwater",Meat edible fraction,36
5,Molluscs,56,"Clams, cockles, arkshells",CLH,Mercenaria mercenaria,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,18
5,Molluscs,57,"Squids, cuttlefishes, octopuses",SQI,Illex illecebrosus,9,Cephalopods,75,Squid,Meat edible fraction,67
4,Crustaceans,45,"Shrimps, prawns",PST,Penaeus setiferus,8,Crustaceans,70,"Shrimp, warmwater",Meat edible fraction,57
3,Marine fishes,34,Miscellaneous demersal fishes,SFV,Sebastes viviparus,3,Groundfish,20,Redfish,Flesh edible fraction,45
5,Molluscs,56,"Clams, cockles, arkshells",CLQ,Arctica islandica,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,18
3,Marine fishes,33,Miscellaneous coastal fishes,CZT,Canthidermis sufflamen,7,Other marine fish,62,Other marine fish,Flesh edible fraction,36
5,Molluscs,57,"Squids, cuttlefishes, octopuses",OCZ,Octopus spp,9,Cephalopods,74,Octopus,Meat edible fraction,79
5,Molluscs,57,"Squids, cuttlefishes, octopuses",OCT,Octopodidae,9,Cephalopods,74,Octopus,Meat edible fraction,79
5,Molluscs,57,"Squids, cuttlefishes, octopuses",OMZ,Ommastrephidae,9,Cephalopods,75,Squid,Meat edible fraction,67
5,Molluscs,57,"Squids, cuttlefishes, octopuses",SQO,Loligo opalescens,9,Cephalopods,75,Squid,Meat edible fraction,67
5,Molluscs,57,"Squids, cuttlefishes, octopuses",OFE,Sthenoteuthis pteropus,9,Cephalopods,75,Squid,Meat edible fraction,67
3,Marine fishes,32,"Cods, hakes, haddocks",PCO,Gadus macrocephalus,3,Groundfish,13,Cod,Flesh edible fraction,41
5,Molluscs,53,Oysters,OYG,Magallana gigas,10,Bivalves and other molluscs and aquatic invertebrates,79,Oyster,Meat edible fraction,10
3,Marine fishes,35,"Herrings, sardines, anchovies",HEP,Clupea pallasii,5,Small pelagics,36,Herring,Flesh edible fraction,60
5,Molluscs,56,"Clams, cockles, arkshells",TQU,Tresus nuttallii,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
5,Molluscs,56,"Clams, cockles, arkshells",TQZ,Tresus spp,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
5,Molluscs,56,"Clams, cockles, arkshells",PTS,Protothaca staminea,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
5,Molluscs,56,"Clams, cockles, arkshells",RAP,Siliqua patula,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
3,Marine fishes,35,"Herrings, sardines, anchovies",CHP,Sardinops sagax,5,Small pelagics,39,Sardine,Flesh edible fraction,53
3,Marine fishes,37,Miscellaneous pelagic fishes,SAP,Cololabis saira,5,Small pelagics,40,Miscellaneous small pelagics,Flesh edible fraction,64
5,Molluscs,57,"Squids, cuttlefishes, octopuses",SQP,Dorytheutis (Amerigo) gahi,9,Cephalopods,75,Squid,Meat edible fraction,67
4,Crustaceans,45,"Shrimps, prawns",PEN,Penaeus spp,8,Crustaceans,70,"Shrimp, warmwater",Meat edible fraction,57
5,Molluscs,57,"Squids, cuttlefishes, octopuses",IAH,Sepia pharaonis,9,Cephalopods,73,Cuttlefish,Meat edible fraction,63
5,Molluscs,57,"Squids, cuttlefishes, octopuses",IAR,Sepia orbignyana,9,Cephalopods,73,Cuttlefish,Meat edible fraction,63
3,Marine fishes,33,Miscellaneous coastal fishes,DEP,Dentex gibbosus,7,Other marine fish,51,"Seabream, other",Flesh edible fraction,54
2,Diadromous fishes,23,"Salmons, trouts, smelts",PIN,Oncorhynchus gorbuscha,2,Salmonids,9,Salmon,Flesh edible fraction,62
5,Molluscs,56,"Clams, cockles, arkshells",AFQ,Paphies australis,10,Bivalves and other molluscs and aquatic invertebrates,80,Clam,Meat edible fraction,10.8
3,Marine fishes,33,Miscellaneous coastal fishes,FIK,Stephanolepis hispidus,7,Other marine fish,62,Other marine fish,Flesh edible fraction,36
3,Marine fishes,34,Miscellaneous demersal fishes,SIQ,Scorpaena histrio,7,Other marine fish,62,Other marine fish,Flesh edible fraction,45
3,Marine fishes,33,Miscellaneous coastal fishes,POY,Leiognathus spp,7,Other marine fish,62,Other marine fish,Flesh edible fraction,36
3,Marine fishes,33,Miscellaneous coastal fishes,PON,Leiognathidae,7,Other marine fish,62,Other marine fish,Flesh edible fraction,36
5,Molluscs,57,"Squids, cuttlefishes, octopuses",OQJ,Octopus joubini,10,Bivalves and other molluscs and aquatic invertebrates,81,Other molluscs and aquatic invertebrates,Meat edible fraction,79
3,Marine fishes,33,Miscellaneous coastal fishes,BLV,Balistes vetula,7,Other marine fish,62,Other marine fish,Flesh edible fraction,36
